TestId,NodeType,SourceType,TargetType,RelationType,DependentRelations
OSS-91907_Func_1,MACRO,EUtranCellFDD,ExternalCdma2000Cell,Cdma2000CellRelation,Cdma2000FreqBandRelation:Cdma2000FreqRelation
OSS-91911_Func_1,MACRO,EUtranCellTDD,ExternalCdma2000Cell,Cdma2000CellRelation,Cdma2000FreqBandRelation:Cdma2000FreqRelation
OSS-91919_Func_1,MACRO,EUtranCellFDD,ExternalCdma20001xRttCell,Cdma20001xRttCellRelation,Cdma20001xRttBandRelation:Cdma20001xRttFreqRelation
OSS-91921_Func_1,MACRO,EUtranCellTDD,ExternalCdma20001xRttCell,Cdma20001xRttCellRelation,Cdma20001xRttBandRelation:Cdma20001xRttFreqRelation
OSS-91882_Func_1,MACRO,EUtranCellFDD,ExternalEUtranCellFDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91884_Func_1,MACRO,EUtranCellTDD,ExternalEUtranCellFDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91885_Func_1,MACRO,EUtranCellFDD,ExternalEUtranCellTDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91888_Func_1,MACRO,EUtranCellTDD,ExternalEUtranCellTDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91889_Func_1,MACRO,EUtranCellTDD,EUtranCellTDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91890_Func_1,MACRO,EUtranCellFDD,EUtranCellFDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91891_Func_1,MACRO,EUtranCellTDD,EUtranCellFDD,EUtranCellRelation,EUtranFreqRelation: 
OSS-91896_Func_1,MACRO,EUtranCellTDD,ExternalUtranCellTDD,UtranCellRelation,UtranFreqRelation: 
OSS-91897_Func_1,MACRO,EUtranCellFDD,ExternalUtranCellFDD,UtranCellRelation,UtranFreqRelation: 
OSS-91899_Func_1,MACRO,EUtranCellTDD,UtranCell,UtranCellRelation,UtranFreqRelation: 
OSS-91900_Func_1,MACRO,EUtranCellFDD,UtranCell,UtranCellRelation,UtranFreqRelation: 
OSS-91914_Func_1,MACRO,EUtranCellTDD,ExternalCdma2000Freq,Cdma2000FreqRelation,Cdma2000CellRelation:Cdma2000FreqBandRelation
OSS-91917_Func_1,MACRO,EUtranCellFDD,ExternalCdma2000Freq,Cdma2000FreqRelation,Cdma2000CellRelation:Cdma2000FreqBandRelation
OSS-91923_Func_1,MACRO,EUtranCellTDD,ExternalCdma2000Freq,Cdma20001xRttFreqRelation,Cdma20001xRttCellRelation:Cdma20001xRttBandRelation
OSS-91924_Func_1,MACRO,EUtranCellFDD,ExternalCdma2000Freq,Cdma20001xRttFreqRelation,Cdma20001xRttCellRelation:Cdma20001xRttBandRelation
OSS-91893_Func_1,MACRO,EUtranCellTDD,EUtranFrequency,EUtranFreqRelation,EUtranFreqRelation: 
OSS-91894_Func_1,MACRO,EUtranCellFDD,EUtranFrequency,EUtranFreqRelation,EUtranFreqRelation: 
OSS-91902_Func_1,MACRO,EUtranCellTDD,ExternalUtranFreq,UtranFreqRelation,
OSS-91903_Func_1,MACRO,EUtranCellFDD,ExternalUtranFreq,UtranFreqRelation,
OSS-91928_Func_1,MACRO,EUtranCellTDD,ExternalUtranFreq,UtranTDDFreqRelation,
OSS-91931_Func_1,MACRO,EUtranCellFDD,ExternalUtranFreq,UtranTDDFreqRelation,
Test_case_1,MACRO,UtranCell,ExternalGsmCell,GsmRelation,
Test_case_2,MACRO,UtranCell,ExternalEutranFrequency,EutranFreqRelation,EutranFreqRelation: 
Test_case_3,MACRO,UtranCell,UtranCell,UtranRelation,
