TestID,NodeType,OperationType,FeatureType
OSS-85641_Func_1,ERBS,activate,LTE_ANR_INTER
OSS-85641_Func_2,ERBS,deactivate,LTE_ANR_INTER
OSS-85641_Func_3,ERBS,activate,LTE_ANR_INTRA
OSS-85641_Func_4,ERBS,deactivate,LTE_ANR_INTRA
OSS-85641_Func_5,ERBS,activate,LTE_ANR_UTRAN
OSS-85641_Func_6,ERBS,deactivate,LTE_ANR_UTRAN
OSS-85641_Func_7,ERBS,activate,LTE_ANR_GSM
OSS-85641_Func_8,ERBS,deactivate,LTE_ANR_GSM
OSS-85641_Func_9,ERBS,activate,LTE_PCI_CONFLICT_DETECT
OSS-85641_Func_10,ERBS,deactivate,LTE_PCI_CONFLICT_DETECT
OSS-85641_Func_11,ERBS,activate,LTE_ADV_CELL_SUP
OSS-85641_Func_12,ERBS,deactivate,LTE_ADV_CELL_SUP
OSS-85641_Func_13,ERBS,activate,LTE_MRO_ULHOC
OSS-85641_Func_14,ERBS,deactivate,LTE_MRO_ULHOC
OSS-85641_Func_15,ERBS,activate,LTE_MRO_HO_OPT_CNTRL
OSS-85641_Func_16,ERBS,deactivate,LTE_MRO_HO_OPT_CNTRL
OSS-85641_Func_17,ERBS,activate,LTE_DRO_PREAMBLE_POWER
OSS-85641_Func_18,ERBS,deactivate,LTE_DRO_PREAMBLE_POWER
OSS-85641_Func_19,ERBS,activate,LTE_DRO_ROOT_SEQ_ALLOC
OSS-85641_Func_20,ERBS,deactivate,LTE_DRO_ROOT_SEQ_ALLOC
OSS-85641_Func_21,ERBS,activate,LTE_LOAD_BALANCING_INTER_FREQ
OSS-85641_Func_22,ERBS,deactivate,LTE_LOAD_BALANCING_INTER_FREQ
OSS-85641_Func_23,ERBS,activate,LTE_MLSTM
OSS-85641_Func_24,ERBS,deactivate,LTE_MLSTM
OSS-85641_Func_25,ERBS,activate,SSLM
OSS-85641_Func_26,ERBS,deactivate,SSLM
OSS-85641_Func_27,RBS,activate,WCDMA_ANR_INTRA
OSS-85641_Func_28,RBS,deactivate,WCDMA_ANR_INTRA
OSS-85641_Func_29,RBS,activate,WCDMA_ANR_RELATION_CREATE
OSS-85641_Func_30,RBS,deactivate,WCDMA_ANR_RELATION_CREATE
OSS-85641_Func_31,PICO-RBS,activate,WCDMA_ANR_INTRA
OSS-85641_Func_32,PICO-RBS,deactivate,WCDMA_ANR_INTRA
OSS-85641_Func_33,PICO-RBS,activate,WCDMA_ANR_RELATION_CREATE
OSS-85641_Func_34,PICO-RBS,deactivate,WCDMA_ANR_RELATION_CREATE
OSS-85641_Func_35,PICO-ERBS,activate,LTE_ANR_INTER
OSS-85641_Func_36,PICO-ERBS,deactivate,LTE_ANR_INTER
OSS-85641_Func_37,PICO-ERBS,activate,LTE_ANR_INTRA
OSS-85641_Func_38,PICO-ERBS,deactivate,LTE_ANR_INTRA
OSS-85641_Func_39,SSR-ERBS,activate,LTE_ANR_INTER
OSS-85641_Func_40,SSR-ERBS,deactivate,LTE_ANR_INTER
OSS-85641_Func_41,SSR-ERBS,activate,LTE_ANR_INTRA
OSS-85641_Func_42,SSR-ERBS,deactivate,LTE_ANR_INTRA
OSS-85641_Func_43,SSR-ERBS,activate,LTE_ANR_UTRAN
OSS-85641_Func_44,SSR-ERBS,deactivate,LTE_ANR_UTRAN
OSS-85641_Func_45,SSR-ERBS,activate,LTE_ANR_GSM
OSS-85641_Func_46,SSR-ERBS,deactivate,LTE_ANR_GSM
OSS-85641_Func_47,SSR-ERBS,activate,LTE_PCI_CONFLICT_DETECT
OSS-85641_Func_48,SSR-ERBS,deactivate,LTE_PCI_CONFLICT_DETECT
OSS-85641_Func_49,SSR-ERBS,activate,LTE_ADV_CELL_SUP
OSS-85641_Func_50,SSR-ERBS,deactivate,LTE_ADV_CELL_SUP
OSS-85641_Func_51,SSR-ERBS,activate,LTE_MRO_ULHOC
OSS-85641_Func_52,SSR-ERBS,deactivate,LTE_MRO_ULHOC
OSS-85641_Func_53,SSR-ERBS,activate,LTE_MRO_HO_OPT_CNTRL
OSS-85641_Func_54,SSR-ERBS,deactivate,LTE_MRO_HO_OPT_CNTRL
OSS-85641_Func_55,SSR-ERBS,activate,LTE_DRO_ROOT_SEQ_ALLOC
OSS-85641_Func_56,SSR-ERBS,deactivate,LTE_DRO_ROOT_SEQ_ALLOC
OSS-85641_Func_57,SSR-ERBS,activate,LTE_LOAD_BALANCING_INTER_FREQ
OSS-85641_Func_58,SSR-ERBS,deactivate,LTE_LOAD_BALANCING_INTER_FREQ
OSS-85641_Func_59,SSR-ERBS,activate,IRAT_OFFLOAD_WCDMA
OSS-85641_Func_60,SSR-ERBS,deactivate,IRAT_OFFLOAD_WCDMA
OSS-85641_Func_61,SSR-ERBS,activate,SSLM
OSS-85641_Func_62,SSR-ERBS,deactivate,SSLM
OSS_124696_FUNC_63,17A-ERBS,activate,LTE_ANR_PLMN_WHITE_LIST
OSS_124696_FUNC_64,17A-ERBS,deactivate,LTE_ANR_PLMN_WHITE_LIST
OSS_124696_FUNC_65,17A-SSR-ERBS,activate,LTE_ANR_PLMN_WHITE_LIST
OSS_124696_FUNC_66,17A-SSR-ERBS,deactivate,LTE_ANR_PLMN_WHITE_LIST
